model,seed,n_calls,n_errors,json_rate,count_ok_rate,n_formulas,valid_rate,dup_rate,must_ok_rate,truncated_rate,tok_per_s,s_per_valid,vram_nvml_peak_mb,vram_torch_peak_mb,prompt_tokens_max
gemma4-e2b-gpu,0,10,0,0.9,0.9,27,0.2963,0.3333,0.9,0.0,10.16,47.26,8761.2,7378.7,2721
gemma4-e2b-plecpu,0,76,0,0.9211,0.9211,210,0.5095,0.144,0.8816,0.0263,9.9,28.17,7083.2,3054.7,3424
gemma4-e2b-plecpu,1,76,0,0.9342,0.9342,213,0.5352,0.0952,0.8684,0.0132,9.92,26.33,7083.2,3054.7,3424
gemma4-e2b-plecpu,2,76,0,0.9079,0.9079,207,0.4928,0.1271,0.8289,0.0132,9.89,29.36,7083.2,3054.7,3424
qwen35-0.8b,0,76,0,0.5526,0.5526,126,0.1984,0.4333,0.2632,0.1842,14.0,84.49,4505.2,1757.6,3315
qwen35-0.8b,1,76,0,0.5658,0.5658,129,0.2326,0.4118,0.3158,0.25,13.97,71.73,4505.2,1757.6,3315
qwen35-0.8b,2,76,0,0.5526,0.5395,124,0.2177,0.4062,0.2763,0.2632,14.2,78.63,4505.2,1757.6,3315
qwen35-2b,0,76,0,0.6316,0.1184,67,0.5075,0.0286,0.6316,0.0658,13.71,42.64,5427.2,2685.5,3315
qwen35-2b,1,76,0,0.6053,0.0658,57,0.4211,0.1429,0.5789,0.1316,13.73,63.55,5429.2,2685.5,3315
qwen35-2b,2,76,0,0.6053,0.0658,56,0.5893,0.0294,0.5263,0.1447,13.77,45.06,5429.2,2685.5,3315
sailor2-1b,0,76,0,0.3026,0.0789,44,0.2273,0.0,0.1842,0.5921,10.62,325.58,7257.2,2513.7,3448
sailor2-1b,1,76,0,0.3421,0.1184,54,0.2963,0.0,0.1842,0.6711,10.6,205.54,7257.2,2513.7,3448
sailor2-1b,2,76,0,0.2895,0.0526,43,0.1395,0.2,0.2105,0.6053,10.57,541.12,7257.2,2513.7,3448
qwen35-2b,all,228,0,0.614,0.0833,180,0.5056,0.2268,0.5789,0.114,13.73,49.03,5429.2,2685.5,3315
gemma4-e2b-gpu,all,10,0,0.9,0.9,27,0.2963,0.3333,0.9,0.0,10.16,47.26,8761.2,7378.7,2721
gemma4-e2b-plecpu,all,228,0,0.9211,0.9211,630,0.5127,0.4255,0.8596,0.0175,9.91,27.9,7083.2,3054.7,3424
qwen35-0.8b,all,228,0,0.557,0.5526,379,0.2164,0.6406,0.2851,0.2325,14.06,77.89,4505.2,1757.6,3315
sailor2-1b,all,228,0,0.3114,0.0833,141,0.227,0.0976,0.193,0.6228,10.6,305.97,7257.2,2513.7,3448
