parse,model,seed,n_calls,n_errors,json_rate,recovered_rate,count_ok_rate,n_requested,n_formulas,n_valid,yield,valid_of_parsed,usable_yield,dup_rate,must_ok_rate,truncated_rate,tok_per_s,s_per_valid,latency_mean_s,vram_nvml_peak_mb,vram_torch_peak_mb,prompt_tokens_max,q_n_valid,q_unique_valid,q_scale_free,q_single_var,q_uses_ts,q_uses_note_var
strict,gemma4-e2b-gpu,0,10,0,0.9,0.0,0.9,30,27,8,0.2667,0.2963,0.2667,0.3333,0.9,0.0,10.16,47.3,37.8,8761.2,7378.7,2721,8,8,1.0,0.625,0.75,0.0
strict,gemma4-e2b-plecpu,0,76,0,0.9211,0.0,0.9211,228,210,107,0.4693,0.5095,0.4386,0.144,0.8816,0.0263,9.9,28.2,39.7,7083.2,3054.7,3424,107,107,0.9346,0.3738,0.5047,0.1121
strict,gemma4-e2b-plecpu,1,76,0,0.9342,0.0,0.9342,228,213,114,0.5,0.5352,0.4605,0.0952,0.8684,0.0132,9.92,26.3,39.5,7083.2,3054.7,3424,114,114,0.9211,0.3684,0.4825,0.1404
strict,gemma4-e2b-plecpu,2,76,0,0.9079,0.0,0.9079,228,207,102,0.4474,0.4928,0.4167,0.1271,0.8289,0.0132,9.89,29.4,39.4,7083.2,3054.7,3424,102,102,0.9314,0.3725,0.5,0.0784
strict,qwen35-0.8b,0,76,0,0.5526,0.0,0.5526,228,126,25,0.1096,0.1984,0.1053,0.4333,0.2632,0.1842,14.0,84.5,27.8,4505.2,1757.6,3315,25,25,0.96,0.36,0.32,0.08
strict,qwen35-0.8b,1,76,0,0.5658,0.0,0.5658,228,129,30,0.1316,0.2326,0.1096,0.4118,0.3158,0.25,13.97,71.7,28.3,4505.2,1757.6,3315,30,30,0.8333,0.2333,0.2667,0.1333
strict,qwen35-0.8b,2,76,0,0.5526,0.0,0.5395,228,124,27,0.1184,0.2177,0.0965,0.4062,0.2763,0.2632,14.2,78.6,27.9,4505.2,1757.6,3315,27,27,0.8148,0.4074,0.2963,0.0741
strict,qwen35-2b,0,76,0,0.6316,0.0,0.1184,228,67,34,0.1491,0.5075,0.1491,0.0286,0.6316,0.0658,13.71,42.6,19.1,5427.2,2685.5,3315,34,34,1.0,0.0882,0.2059,0.0294
strict,qwen35-2b,1,76,0,0.6053,0.0,0.0658,228,57,24,0.1053,0.4211,0.1053,0.1429,0.5789,0.1316,13.73,63.6,20.1,5429.2,2685.5,3315,24,24,1.0,0.0833,0.0833,0.0417
strict,qwen35-2b,2,76,0,0.6053,0.0,0.0658,228,56,33,0.1447,0.5893,0.1447,0.0294,0.5263,0.1447,13.77,45.1,19.6,5429.2,2685.5,3315,33,33,1.0,0.1212,0.2121,0.0606
strict,sailor2-1b,0,76,0,0.3026,0.0,0.0789,228,44,6,0.0263,0.2273,0.0,0.0,0.1842,0.5921,10.62,542.6,42.8,7257.2,2513.7,3448,10,10,0.0,0.0,0.0,0.0
strict,sailor2-1b,1,76,0,0.3421,0.0,0.1184,228,54,15,0.0658,0.2963,0.0132,0.0,0.1842,0.6711,10.6,219.2,43.3,7257.2,2513.7,3448,16,16,0.1875,0.125,0.125,0.0
strict,sailor2-1b,2,76,0,0.2895,0.0,0.0526,228,43,5,0.0219,0.1395,0.0,0.2,0.2105,0.6053,10.57,649.3,42.7,7257.2,2513.7,3448,6,6,0.0,0.0,0.0,0.6667
strict,qwen35-2b,all,228,0,0.614,0.0,0.0833,684,180,91,0.133,0.5056,0.133,0.067,0.5789,0.114,13.73,49.0,19.6,5429.2,2685.5,3315,91,75,1.0,0.0989,0.1758,0.044
strict,gemma4-e2b-gpu,all,10,0,0.9,0.0,0.9,30,27,8,0.2667,0.2963,0.2667,0.3333,0.9,0.0,10.16,47.3,37.8,8761.2,7378.7,2721,8,8,1.0,0.625,0.75,0.0
strict,gemma4-e2b-plecpu,all,228,0,0.9211,0.0,0.9211,684,630,323,0.4722,0.5127,0.4386,0.1221,0.8596,0.0175,9.91,27.9,39.5,7083.2,3054.7,3424,323,211,0.9288,0.3715,0.4954,0.1115
strict,qwen35-0.8b,all,228,0,0.557,0.0,0.5526,684,379,82,0.1199,0.2164,0.1038,0.4171,0.2851,0.2325,14.06,77.9,28.0,4505.2,1757.6,3315,82,58,0.8659,0.3293,0.2927,0.0976
strict,sailor2-1b,all,228,0,0.3114,0.0,0.0833,684,141,26,0.038,0.227,0.0044,0.0667,0.193,0.6228,10.6,376.6,42.9,7257.2,2513.7,3448,32,31,0.0938,0.0625,0.0625,0.125
lenient,gemma4-e2b-gpu,0,10,0,0.9,0.1,0.9,30,30,10,0.3333,0.3333,0.3333,0.2857,1.0,0.0,10.16,37.8,37.8,8761.2,7378.7,2721,10,10,1.0,0.6,0.6,0.0
lenient,gemma4-e2b-plecpu,0,76,0,0.9211,0.0789,0.9211,228,224,115,0.5044,0.5134,0.4737,0.1353,0.9474,0.0263,9.9,26.2,39.7,7083.2,3054.7,3424,115,115,0.9391,0.3739,0.4957,0.1043
lenient,gemma4-e2b-plecpu,1,76,0,0.9342,0.0658,0.9342,228,223,119,0.5219,0.5336,0.4825,0.0916,0.9211,0.0132,9.92,25.2,39.5,7083.2,3054.7,3424,119,119,0.9244,0.3613,0.4706,0.1429
lenient,gemma4-e2b-plecpu,2,76,0,0.9079,0.0921,0.9079,228,222,107,0.4693,0.482,0.4386,0.122,0.9079,0.0132,9.89,28.0,39.4,7083.2,3054.7,3424,107,107,0.9346,0.3645,0.5047,0.0935
lenient,qwen35-0.8b,0,76,0,0.5526,0.4342,0.5526,228,212,37,0.1623,0.1745,0.1404,0.4321,0.3684,0.1842,14.0,57.1,27.8,4505.2,1757.6,3315,37,37,0.8649,0.4324,0.3243,0.0541
lenient,qwen35-0.8b,1,76,0,0.5658,0.4342,0.5658,228,211,36,0.1579,0.1706,0.1316,0.4713,0.3684,0.25,13.97,59.8,28.3,4505.2,1757.6,3315,36,36,0.8333,0.3333,0.3611,0.1111
lenient,qwen35-0.8b,2,76,0,0.5526,0.4342,0.5395,228,205,38,0.1667,0.1854,0.1272,0.4302,0.3816,0.2632,14.2,55.9,27.9,4505.2,1757.6,3315,38,38,0.7632,0.4737,0.3158,0.0526
lenient,qwen35-2b,0,76,0,0.6316,0.3289,0.1184,228,143,70,0.307,0.4895,0.307,0.125,0.9079,0.0658,13.71,20.7,19.1,5427.2,2685.5,3315,70,70,1.0,0.0857,0.2,0.0286
lenient,qwen35-2b,1,76,0,0.6053,0.3553,0.0658,228,134,65,0.2851,0.4851,0.2851,0.2118,0.8816,0.1316,13.73,23.5,20.1,5429.2,2685.5,3315,65,65,1.0,0.1077,0.2923,0.0615
lenient,qwen35-2b,2,76,0,0.6053,0.3158,0.0658,228,126,72,0.3158,0.5714,0.3158,0.1529,0.8026,0.1447,13.77,20.7,19.6,5429.2,2685.5,3315,72,72,1.0,0.125,0.2361,0.0556
lenient,sailor2-1b,0,76,0,0.3026,0.4079,0.0789,228,137,26,0.114,0.2482,0.0132,0.0667,0.2237,0.5921,10.62,125.2,42.8,7257.2,2513.7,3448,34,34,0.0882,0.0588,0.0294,0.0588
lenient,sailor2-1b,1,76,0,0.3421,0.3158,0.1184,228,132,22,0.0965,0.197,0.0307,0.0286,0.2237,0.6711,10.6,149.5,43.3,7257.2,2513.7,3448,26,26,0.2692,0.4231,0.1154,0.1154
lenient,sailor2-1b,2,76,0,0.2895,0.3289,0.0526,228,127,29,0.1272,0.2677,0.0307,0.2075,0.3026,0.6053,10.57,112.0,42.7,7257.2,2513.7,3448,34,34,0.2059,0.3235,0.1471,0.2059
lenient,qwen35-2b,all,228,0,0.614,0.3333,0.0833,684,403,207,0.3026,0.5136,0.3026,0.1632,0.864,0.114,13.73,21.6,19.6,5429.2,2685.5,3315,207,151,1.0,0.1063,0.2415,0.0483
lenient,gemma4-e2b-gpu,all,10,0,0.9,0.1,0.9,30,30,10,0.3333,0.3333,0.3333,0.2857,1.0,0.0,10.16,37.8,37.8,8761.2,7378.7,2721,10,10,1.0,0.6,0.6,0.0
lenient,gemma4-e2b-plecpu,all,228,0,0.9211,0.0789,0.9211,684,669,341,0.4985,0.5097,0.4649,0.1163,0.9254,0.0175,9.91,26.4,39.5,7083.2,3054.7,3424,341,221,0.9326,0.3666,0.4897,0.1144
lenient,qwen35-0.8b,all,228,0,0.557,0.4342,0.5526,684,628,111,0.1623,0.1768,0.133,0.4445,0.3728,0.2325,14.06,57.5,28.0,4505.2,1757.6,3315,111,79,0.8198,0.4144,0.3333,0.0721
