parse,model,seed,n_calls,n_errors,json_rate,recovered_rate,count_ok_rate,n_requested,n_formulas,n_valid,yield,valid_of_parsed,usable_yield,dup_rate,must_ok_rate,truncated_rate,tok_per_s,s_per_valid,latency_mean_s,vram_nvml_peak_mb,vram_torch_peak_mb,prompt_tokens_max,q_n_valid,q_unique_valid,q_scale_free,q_single_var,q_uses_ts,q_uses_note_var
strict,gemma4-e2b-plecpu,0,2,0,1.0,0.0,1.0,6,6,3,0.5,0.5,0.5,0.0,1.0,0.0,10.12,27.3,40.9,7077.2,2217.4,1836,3,3,1.0,1.0,0.6667,0.0
strict,qwen35-0.8b,0,2,0,0.5,0.0,0.5,6,3,0,0.0,0.0,0.0,,0.5,0.5,14.56,,33.7,1791.2,1093.9,1773,0,0,,,,
strict,qwen35-2b,0,2,0,1.0,0.0,0.0,6,2,1,0.1667,0.5,0.1667,0.0,1.0,0.0,13.32,24.0,12.0,2711.2,2013.1,1773,1,1,1.0,0.0,0.0,0.0
strict,sailor2-1b,0,2,0,0.0,0.0,0.0,6,0,0,0.0,,0.0,,0.0,0.5,11.26,,32.6,2067.2,1384.7,1838,0,0,,,,
strict,qwen35-2b,all,2,0,1.0,0.0,0.0,6,2,1,0.1667,0.5,0.1667,0.0,1.0,0.0,13.32,24.0,12.0,2711.2,2013.1,1773,1,1,1.0,0.0,0.0,0.0
strict,gemma4-e2b-plecpu,all,2,0,1.0,0.0,1.0,6,6,3,0.5,0.5,0.5,0.0,1.0,0.0,10.12,27.3,40.9,7077.2,2217.4,1836,3,3,1.0,1.0,0.6667,0.0
strict,qwen35-0.8b,all,2,0,0.5,0.0,0.5,6,3,0,0.0,0.0,0.0,,0.5,0.5,14.56,,33.7,1791.2,1093.9,1773,0,0,,,,
strict,sailor2-1b,all,2,0,0.0,0.0,0.0,6,0,0,0.0,,0.0,,0.0,0.5,11.26,,32.6,2067.2,1384.7,1838,0,0,,,,
lenient,gemma4-e2b-plecpu,0,2,0,1.0,0.0,1.0,6,6,3,0.5,0.5,0.5,0.0,1.0,0.0,10.12,27.3,40.9,7077.2,2217.4,1836,3,3,1.0,1.0,0.6667,0.0
lenient,qwen35-0.8b,0,2,0,0.5,0.5,0.5,6,5,0,0.0,0.0,0.0,,0.5,0.5,14.56,,33.7,1791.2,1093.9,1773,0,0,,,,
lenient,qwen35-2b,0,2,0,1.0,0.0,0.0,6,2,1,0.1667,0.5,0.1667,0.0,1.0,0.0,13.32,24.0,12.0,2711.2,2013.1,1773,1,1,1.0,0.0,0.0,0.0
lenient,sailor2-1b,0,2,0,0.0,0.0,0.0,6,0,0,0.0,,0.0,,0.0,0.5,11.26,,32.6,2067.2,1384.7,1838,0,0,,,,
lenient,qwen35-2b,all,2,0,1.0,0.0,0.0,6,2,1,0.1667,0.5,0.1667,0.0,1.0,0.0,13.32,24.0,12.0,2711.2,2013.1,1773,1,1,1.0,0.0,0.0,0.0
lenient,gemma4-e2b-plecpu,all,2,0,1.0,0.0,1.0,6,6,3,0.5,0.5,0.5,0.0,1.0,0.0,10.12,27.3,40.9,7077.2,2217.4,1836,3,3,1.0,1.0,0.6667,0.0
lenient,qwen35-0.8b,all,2,0,0.5,0.5,0.5,6,5,0,0.0,0.0,0.0,,0.5,0.5,14.56,,33.7,1791.2,1093.9,1773,0,0,,,,
lenient,sailor2-1b,all,2,0,0.0,0.0,0.0,6,0,0,0.0,,0.0,,0.0,0.5,11.26,,32.6,2067.2,1384.7,1838,0,0,,,,
