name,statement,vas_code,declared_sign,n_nonfinancial,of_nonfinancial,n_financial,of_financial,obs_positive,obs_negative
current_assets,balance_sheet,100,positive,15,17,1,3,26,0
cash_and_equivalents,balance_sheet,110,positive,15,17,1,3,25,0
short_term_investments,balance_sheet,120,positive,15,17,0,3,21,0
short_term_receivables,balance_sheet,130,positive,15,17,1,3,25,0
receivables_customers,balance_sheet,131,positive,15,17,1,3,25,0
prepaid_to_suppliers,balance_sheet,132,positive,15,17,1,3,25,0
provision_doubtful_debt,balance_sheet,137,negative,14,17,0,3,0,21
inventory,balance_sheet,140,positive,15,17,0,3,23,0
inventory_gross,balance_sheet,141,positive,15,17,0,3,23,0
inventory_writedown,balance_sheet,149,negative,12,17,0,3,0,18
long_term_assets,balance_sheet,200,positive,15,17,1,3,24,0
fixed_assets,balance_sheet,220,positive,13,17,1,3,23,0
tangible_fixed_assets,balance_sheet,221,positive,13,17,1,3,22,0
accumulated_depreciation,balance_sheet,223,negative,13,17,0,3,0,20
construction_in_progress,balance_sheet,240,positive,13,17,1,3,21,0
long_term_investments,balance_sheet,250,positive,13,17,1,3,21,0
investments_associates,balance_sheet,252,positive,13,17,1,3,21,0
total_assets,balance_sheet,270,positive,14,17,1,3,24,0
total_liabilities,balance_sheet,300,positive,15,17,1,3,27,0
current_liabilities,balance_sheet,310,positive,14,17,1,3,23,0
payables_suppliers,balance_sheet,311,positive,13,17,1,3,22,0
customer_advances,balance_sheet,312,positive,13,17,1,3,22,0
short_term_debt,balance_sheet,320,positive,13,17,1,3,21,0
long_term_liabilities,balance_sheet,330,positive,12,17,1,3,20,0
long_term_debt,balance_sheet,338,positive,12,17,0,3,18,0
equity,balance_sheet,400,positive,15,17,1,3,27,0
share_capital,balance_sheet,411,positive,13,17,1,3,22,0
retained_earnings,balance_sheet,421,any,12,17,0,3,18,0
minority_interest,balance_sheet,429,any,10,17,0,3,15,0
total_resources,balance_sheet,440,positive,14,17,1,3,22,0
gross_revenue,income_statement,01,positive,9,17,0,3,12,0
revenue_deductions,income_statement,02,any,7,17,0,3,10,0
revenue,income_statement,10,positive,8,17,0,3,11,0
cogs,income_statement,11,any,9,17,0,3,12,0
gross_profit,income_statement,20,any,9,17,0,3,12,0
financial_income,income_statement,21,positive,9,17,0,3,12,0
financial_expense,income_statement,22,any,9,17,0,3,12,0
interest_expense,income_statement,23,any,9,17,0,3,12,0
share_of_associates,income_statement,24,any,8,17,0,3,7,3
selling_expense,income_statement,25,any,8,17,0,3,11,0
admin_expense,income_statement,26,any,9,17,0,3,12,0
operating_profit,income_statement,30,any,9,17,0,3,12,0
other_income,income_statement,31,any,9,17,0,3,12,0
pretax_profit,income_statement,50,any,9,17,0,3,12,0
current_tax_expense,income_statement,51,any,9,17,0,3,12,0
net_income,income_statement,60,any,9,17,0,3,12,0
net_income_parent,income_statement,61,any,7,17,0,3,8,0
eps_basic,income_statement,70,any,9,17,0,3,12,0
depreciation,cash_flow,02,positive,10,17,0,3,13,0
cfo,cash_flow,20,any,10,17,0,3,13,0
capex,cash_flow,21,negative,12,17,0,3,0,15
cfi,cash_flow,30,any,10,17,0,3,1,12
dividends_paid,cash_flow,36,negative,11,17,0,3,0,15
cff,cash_flow,40,any,11,17,0,3,8,7
net_cash_change,cash_flow,50,any,11,17,0,3,8,7
cash_end,cash_flow,70,positive,11,17,0,3,15,0
related_party_disclosed,notes,,positive,17,17,3,3,0,0
audit_opinion_qualified,notes,,positive,13,17,3,3,0,0
going_concern_flag,notes,,positive,16,17,3,3,0,0
segment_disclosed,notes,,positive,15,17,3,3,0,0
contingent_liabilities_disclosed,notes,,positive,15,17,3,3,0,0
market_cap,market,,positive,0,17,0,3,0,0
close_price,market,,positive,0,17,0,3,0,0
shares_outstanding,market,,positive,0,17,0,3,0,0
adv20,market,,positive,0,17,0,3,0,0
