ticker,year,sector,is_financial,repo_path,doc_name,doc_class,n_candidates,other_candidates,local_path,size_bytes,n_chars,digit_ratio,diacritic_ratio,replacement_chars,n_lines,avg_line_len,ocr_grade,pdf_path
ANV,2017,agri_fishery,false,ocr_results/ANV/2017/ANV_Baocaotaichinh_2017_Kiemtoan_Hopnhat/ANV_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,ANV_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,ANV_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/ANV/2017/ANV_Baocaotaichinh_2017_Kiemtoan_Hopnhat/ANV_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,169068,141108,0.0979,0.2075,0,1811,77.9,good,pdf_files/ANV/2017/ANV_Baocaotaichinh_2017_Kiemtoan_Hopnhat.pdf
ANV,2024,agri_fishery,false,ocr_results/ANV/2024/ANV_Baocaotaichinh_2024_Kiemtoan_Hopnhat/ANV_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,ANV_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,ANV_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/ANV/2024/ANV_Baocaotaichinh_2024_Kiemtoan_Hopnhat/ANV_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,194766,162936,0.0969,0.2012,0,2066,78.9,good,pdf_files/ANV/2024/ANV_Baocaotaichinh_2024_Kiemtoan_Hopnhat.pdf
SHB,2017,bank,true,ocr_results/SHB/2017/SHB_Baocaotaichinh_2017_Kiemtoan_Hopnhat/SHB_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,SHB_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,SHB_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/SHB/2017/SHB_Baocaotaichinh_2017_Kiemtoan_Hopnhat/SHB_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,226362,187019,0.0802,0.2118,0,2114,88.5,good,
SHB,2024,bank,true,ocr_results/SHB/2024/SHB_Baocaotaichinh_2024_Kiemtoan_Hopnhat/SHB_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,SHB_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,SHB_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/SHB/2024/SHB_Baocaotaichinh_2024_Kiemtoan_Hopnhat/SHB_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,224293,186544,0.0814,0.2068,0,1874,99.5,good,
VCB,2017,bank,true,ocr_results/VCB/2017/VCB_Baocaotaichinh_2017_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,VCB_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,VCB_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/VCB/2017/VCB_Baocaotaichinh_2017_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,244153,207076,0.0867,0.1882,0,2150,96.3,good,
VCB,2024,bank,true,ocr_results/VCB/2024/VCB_Baocaotaichinh_2024_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,VCB_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,VCB_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/VCB/2024/VCB_Baocaotaichinh_2024_Kiemtoan_Hopnhat/VCB_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,272336,228573,0.091,0.1973,0,2566,89.1,good,
CTD,2017,construction_materials,false,ocr_results/CTD/2017/CTD_Baocaotaichinh_2017_Kiemtoan_Hopnhat/CTD_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,CTD_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,CTD_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/CTD/2017/CTD_Baocaotaichinh_2017_Kiemtoan_Hopnhat/CTD_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,127522,106921,0.109,0.2043,0,1383,77.3,good,pdf_files/CTD/2017/CTD_Baocaotaichinh_2017_Kiemtoan_Hopnhat.pdf
CTD,2024,construction_materials,false,ocr_results/CTD/2024/CTD_Baocaotaichinh_2024_Kiemtoan_Hopnhat/CTD_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,CTD_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,CTD_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/CTD/2024/CTD_Baocaotaichinh_2024_Kiemtoan_Hopnhat/CTD_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,184735,155115,0.1109,0.2011,0,1975,78.5,good,pdf_files/CTD/2024/CTD_Baocaotaichinh_2024_Kiemtoan_Hopnhat.pdf
PC1,2017,construction_materials,false,ocr_results/PC1/2017/PC1_Baocaotaichinh_2017_Kiemtoan_Hopnhat/PC1_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,PC1_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,PC1_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/PC1/2017/PC1_Baocaotaichinh_2017_Kiemtoan_Hopnhat/PC1_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,159855,135602,0.1195,0.1951,0,1509,89.9,good,
PC1,2024,construction_materials,false,ocr_results/PC1/2024/PC1_Baocaotaichinh_2024_Kiemtoan_Hopnhat/PC1_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,PC1_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,PC1_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/PC1/2024/PC1_Baocaotaichinh_2024_Kiemtoan_Hopnhat/PC1_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,230743,196363,0.1329,0.195,0,2256,87.0,good,
